Elements;hsort;milliSec;10;50;150;3;ab
11;0
61;0
111;0
161;0
211;0
261;0
311;1
361;0
411;1
461;1
511;1
561;1
611;1
661;2
711;2
761;2
811;2
861;2
911;2
961;2
1011;2
1061;3
1111;3
1161;3
1211;3
1261;3
1311;4
1361;4
1411;4
1461;4
1511;4
1561;5
1611;5
1661;5
1711;5
1761;6
1811;5
1861;6
1911;7
1961;6
2011;7
2061;7
2111;7
2161;7
2211;8
2261;8
2311;9
2361;9
2411;9
2461;9
2511;9
2561;9
2611;10
2661;10
2711;12
2761;11
2811;11
2861;12
2911;12
2961;13
3011;13
3061;13
3111;13
3161;13
3211;14
3261;14
3311;14
3361;15
3411;15
3461;15
3511;15
3561;16
3611;16
3661;16
3711;17
3761;17
3811;18
3861;18
3911;19
3961;19
4011;20
4061;20
4111;20
4161;21
4211;21
4261;22
4311;22
4361;23
4411;23
4461;23
4511;25
4561;24
4611;24
4661;25
4711;26
4761;25
4811;26
4861;27
4911;27
4961;27
5011;28
5061;28
5111;29
5161;29
5211;30
5261;30
5311;31
5361;31
5411;32
5461;32
5511;33
5561;33
5611;34
5661;34
5711;35
5761;36
5811;35
5861;37
5911;37
5961;38
6011;38
6061;39
6111;39
6161;39
6211;40
6261;41
6311;41
6361;42
6411;42
6461;43
6511;44
6561;44
6611;45
6661;45
6711;46
6761;46
6811;50
6861;47
6911;48
6961;48
7011;49
7061;50
7111;51
7161;51
7211;51
7261;52
7311;53
7361;53
7411;54
7461;54
